Sample in Buffer,Sample in Window,TRIGGER,design_1_i/tvalid_fir_gen_0_odata_q[15:0],design_1_i/tvalid_fir_gen_0_odata_i[15:0],user_probe_I[15:0],design_1_i/fir_compiler_2_m_axis_data_tdata[15:0],design_1_i/fir_compiler_1_m_axis_data_tdata[15:0],design_1_i/fir_compiler_0_m_axis_data_tdata[15:0],design_1_i/fir_compiler_3_m_axis_data_tdata[15:0],design_1_i/tvalid_fir_gen_0_tvalid,design_1_i/tvalid_fir_gen_1_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX
25025,25025,0,131,-230,-230,-56,-89,72,46,0,0
25026,25026,0,131,-230,-230,-56,-89,72,46,0,0
25027,25027,0,131,-230,-230,-39,-89,72,21,0,0
25028,25028,0,-120,93,93,-39,-89,72,21,1,0
25029,25029,0,-120,93,93,-39,-48,66,21,0,1
25030,25030,0,-120,93,93,-39,-48,66,21,0,0
25031,25031,0,-120,93,93,-39,-48,66,21,0,0
25032,25032,0,-120,93,93,-39,-48,66,21,0,0
25033,25033,0,-120,93,93,-39,-38,-53,21,0,1
25034,25034,0,-120,93,93,-39,-38,-53,21,0,0
25035,25035,0,-120,93,93,-39,-38,-53,21,0,0
25036,25036,0,-120,93,93,-137,-38,-53,-48,0,0
25037,25037,0,-217,-96,-96,-137,-38,-53,-48,1,0
25038,25038,0,-217,-96,-96,-137,-80,-188,-48,0,1
25039,25039,0,-217,-96,-96,-137,-80,-188,-48,0,0
25040,25040,0,-217,-96,-96,-137,-80,-188,-48,0,0
25041,25041,0,-217,-96,-96,-137,-80,-188,-48,0,0
25042,25042,0,-217,-96,-96,-137,-163,-224,-48,0,1
25043,25043,0,-217,-96,-96,-137,-163,-224,-48,0,0
25044,25044,0,-217,-96,-96,-137,-163,-224,-48,0,0
25045,25045,0,-217,-96,-96,-60,-163,-224,-104,0,0
25046,25046,0,-28,-22,-22,-60,-163,-224,-104,1,0
25047,25047,0,-28,-22,-22,-60,-249,-122,-104,0,1
25048,25048,0,-28,-22,-22,-60,-249,-122,-104,0,0
25049,25049,0,-28,-22,-22,-60,-249,-122,-104,0,0
25050,25050,0,-28,-22,-22,-60,-249,-122,-104,0,0
25051,25051,0,-28,-22,-22,-60,-291,52,-104,0,1
25052,25052,0,-28,-22,-22,-60,-291,52,-104,0,0
25053,25053,0,-28,-22,-22,-60,-291,52,-104,0,0
25054,25054,0,-28,-22,-22,116,-291,52,-84,0,0
25055,25055,0,129,579,579,116,-291,52,-84,1,0
25056,25056,0,129,579,579,116,-264,177,-84,0,1
25057,25057,0,129,579,579,116,-264,177,-84,0,0
25058,25058,0,129,579,579,116,-264,177,-84,0,0
25059,25059,0,129,579,579,116,-264,177,-84,0,0
25060,25060,0,129,579,579,116,-175,170,-84,0,1
25061,25061,0,129,579,579,116,-175,170,-84,0,0
25062,25062,0,129,579,579,116,-175,170,-84,0,0
25063,25063,0,129,579,579,36,-175,170,-40,0,0
25064,25064,0,13,-205,-205,36,-175,170,-40,1,0
25065,25065,0,13,-205,-205,36,-60,45,-40,0,1
25066,25066,0,13,-205,-205,36,-60,45,-40,0,0
25067,25067,0,13,-205,-205,36,-60,45,-40,0,0
25068,25068,0,13,-205,-205,36,-60,45,-40,0,0
25069,25069,0,13,-205,-205,36,36,-100,-40,0,1
25070,25070,0,13,-205,-205,36,36,-100,-40,0,0
25071,25071,0,13,-205,-205,36,36,-100,-40,0,0
25072,25072,0,13,-205,-205,-112,36,-100,-52,0,0
25073,25073,0,5,34,34,-112,36,-100,-52,1,0
25074,25074,0,5,34,34,-112,81,-163,-52,0,1
25075,25075,0,5,34,34,-112,81,-163,-52,0,0
25076,25076,0,5,34,34,-112,81,-163,-52,0,0
25077,25077,0,5,34,34,-112,81,-163,-52,0,0
25078,25078,0,5,34,34,-112,66,-115,-52,0,1
25079,25079,0,5,34,34,-112,66,-115,-52,0,0
25080,25080,0,5,34,34,-112,66,-115,-52,0,0
25081,25081,0,5,34,34,-21,66,-115,-62,0,0
25082,25082,0,50,-98,-98,-21,66,-115,-62,1,0
25083,25083,0,50,-98,-98,-21,7,-17,-62,0,1
25084,25084,0,50,-98,-98,-21,7,-17,-62,0,0
25085,25085,0,50,-98,-98,-21,7,-17,-62,0,0
25086,25086,0,50,-98,-98,-21,7,-17,-62,0,0
25087,25087,0,50,-98,-98,-21,-60,47,-62,0,1
25088,25088,0,50,-98,-98,-21,-60,47,-62,0,0
25089,25089,0,50,-98,-98,-21,-60,47,-62,0,0
25090,25090,0,50,-98,-98,33,-60,47,-24,0,0
25091,25091,0,24,-227,-227,33,-60,47,-24,1,0
25092,25092,0,24,-227,-227,33,-104,32,-24,0,1
25093,25093,0,24,-227,-227,33,-104,32,-24,0,0
25094,25094,0,24,-227,-227,33,-104,32,-24,0,0
25095,25095,0,24,-227,-227,33,-104,32,-24,0,0
25096,25096,0,24,-227,-227,33,-109,-48,-24,0,1
25097,25097,0,24,-227,-227,33,-109,-48,-24,0,0
25098,25098,0,24,-227,-227,33,-109,-48,-24,0,0
25099,25099,0,24,-227,-227,-94,-109,-48,-40,0,0
25100,25100,0,-257,-116,-116,-94,-109,-48,-40,1,0
25101,25101,0,-257,-116,-116,-94,-74,-106,-40,0,1
25102,25102,0,-257,-116,-116,-94,-74,-106,-40,0,0
25103,25103,0,-257,-116,-116,-94,-74,-106,-40,0,0
25104,25104,0,-257,-116,-116,-94,-74,-106,-40,0,0
25105,25105,0,-257,-116,-116,-94,-14,-11,-40,0,1
25106,25106,0,-257,-116,-116,-94,-14,-11,-40,0,0
25107,25107,0,-257,-116,-116,-94,-14,-11,-40,0,0
25108,25108,0,-257,-116,-116,-61,-14,-11,-124,0,0
25109,25109,0,-328,-12,-12,-61,-14,-11,-124,1,0
25110,25110,0,-328,-12,-12,-61,43,206,-124,0,1
25111,25111,0,-328,-12,-12,-61,43,206,-124,0,0
25112,25112,0,-328,-12,-12,-61,43,206,-124,0,0
25113,25113,0,-328,-12,-12,-61,43,206,-124,0,0
25114,25114,0,-328,-12,-12,-61,65,290,-124,0,1
25115,25115,0,-328,-12,-12,-61,65,290,-124,0,0
25116,25116,0,-328,-12,-12,-61,65,290,-124,0,0
25117,25117,0,-328,-12,-12,89,65,290,-132,0,0
25118,25118,0,-29,52,52,89,65,290,-132,1,0
25119,25119,0,-29,52,52,89,41,109,-132,0,1
25120,25120,0,-29,52,52,89,41,109,-132,0,0
25121,25121,0,-29,52,52,89,41,109,-132,0,0
25122,25122,0,-29,52,52,89,41,109,-132,0,0
25123,25123,0,-29,52,52,89,7,-103,-132,0,1
25124,25124,0,-29,52,52,89,7,-103,-132,0,0
25125,25125,0,-29,52,52,89,7,-103,-132,0,0
25126,25126,0,-29,52,52,23,7,-103,-30,0,0
25127,25127,0,240,111,111,23,7,-103,-30,1,0
25128,25128,0,240,111,111,23,-5,-100,-30,0,1
25129,25129,0,240,111,111,23,-5,-100,-30,0,0
25130,25130,0,240,111,111,23,-5,-100,-30,0,0
25131,25131,0,240,111,111,23,-5,-100,-30,0,0
25132,25132,0,240,111,111,23,3,17,-30,0,1
25133,25133,0,240,111,111,23,3,17,-30,0,0
25134,25134,0,240,111,111,23,3,17,-30,0,0
25135,25135,0,240,111,111,-82,3,17,40,0,0
25136,25136,0,513,5,5,-82,3,17,40,1,0
25137,25137,0,513,5,5,-82,13,33,40,0,1
25138,25138,0,513,5,5,-82,13,33,40,0,0
25139,25139,0,513,5,5,-82,13,33,40,0,0
25140,25140,0,513,5,5,-82,13,33,40,0,0
25141,25141,0,513,5,5,-82,25,-49,40,0,1
25142,25142,0,513,5,5,-82,25,-49,40,0,0
25143,25143,0,513,5,5,-82,25,-49,40,0,0
25144,25144,0,513,5,5,-8,25,-49,4,0,0
25145,25145,0,778,-99,-99,-8,25,-49,4,1,0
25146,25146,0,778,-99,-99,-8,33,-109,4,0,1
25147,25147,0,778,-99,-99,-8,33,-109,4,0,0
25148,25148,0,778,-99,-99,-8,33,-109,4,0,0
25149,25149,0,778,-99,-99,-8,33,-109,4,0,0
25150,25150,0,778,-99,-99,-8,12,-114,4,0,1
25151,25151,0,778,-99,-99,-8,12,-114,4,0,0
25152,25152,0,778,-99,-99,-8,12,-114,4,0,0
25153,25153,0,778,-99,-99,16,12,-114,-52,0,0
25154,25154,0,433,6,6,16,12,-114,-52,1,0
25155,25155,0,433,6,6,16,-51,-91,-52,0,1
